Timestamp;Fecha_ES;PLC;Produccion_Golpes;Consumo_Energia;Temp_Sup;Temp_Inf;Tempo_Ciclo;Consumo_Medio;SP_Sup;SP_Inf
2026-05-15T08:04:46.353Z;15/5/2026, 10:04:46;PLC1;1;21;200;178;10;0;199;180
2026-05-15T08:14:41.352Z;15/5/2026, 10:14:41;PLC1;1;20;201;180;10;0;199;181
2026-05-15T08:24:41.363Z;15/5/2026, 10:24:41;PLC1;1;20;199;178;10;0;201;179
2026-05-15T08:34:41.366Z;15/5/2026, 10:34:41;PLC1;1;21;202;179;10;0;200;180
2026-05-15T08:44:41.381Z;15/5/2026, 10:44:41;PLC1;1;21;201;181;10;0;200;179
2026-05-15T08:45:15.294Z;15/5/2026, 10:45:15;PLC1;1;20;200;179;10;0;200;179
2026-05-15T08:55:10.289Z;15/5/2026, 10:55:10;PLC1;1;20;200;180;10;0;199;179
2026-05-15T09:05:10.298Z;15/5/2026, 11:05:10;PLC1;1;20;202;182;10;0;201;180
2026-05-15T09:15:10.310Z;15/5/2026, 11:15:10;PLC1;1;21;200;180;10;0;201;181
2026-05-15T09:25:10.313Z;15/5/2026, 11:25:10;PLC1;1;20;200;181;10;0;199;180
2026-05-15T09:35:10.322Z;15/5/2026, 11:35:10;PLC1;1;20;198;180;10;0;200;181
2026-05-15T09:45:10.332Z;15/5/2026, 11:45:10;PLC1;1;20;200;179;10;0;200;179
2026-05-15T09:55:10.334Z;15/5/2026, 11:55:10;PLC1;1;21;199;179;10;0;200;179
2026-05-15T10:02:52.309Z;15/5/2026, 12:02:52;PLC1;1;21;198;178;10;0;199;179
2026-05-15T10:12:47.303Z;15/5/2026, 12:12:47;PLC1;1;20;198;182;10;0;201;180
2026-05-15T10:22:47.315Z;15/5/2026, 12:22:47;PLC1;1;20;202;181;10;0;201;181
2026-05-15T10:32:47.320Z;15/5/2026, 12:32:47;PLC1;1;20;201;178;10;0;199;181
2026-05-15T11:14:48.074Z;15/5/2026, 13:14:48;PLC1;1;20;200;178;10;0;201;181
2026-05-15T11:24:48.083Z;15/5/2026, 13:24:48;PLC1;1;20;198;179;10;0;201;181
2026-05-15T11:34:48.096Z;15/5/2026, 13:34:48;PLC1;1;20;201;182;10;0;199;179
2026-05-15T11:44:48.105Z;15/5/2026, 13:44:48;PLC1;1;20;202;179;10;0;200;180
2026-05-15T11:54:48.105Z;15/5/2026, 13:54:48;PLC1;1;20;200;182;10;0;201;179
2026-05-15T12:04:48.108Z;15/5/2026, 14:04:48;PLC1;1;20;202;179;10;0;201;181
2026-05-15T12:07:48.246Z;15/5/2026, 14:07:48;PLC1;1;20;198;181;10;0;201;179
2026-05-15T12:17:43.244Z;15/5/2026, 14:17:43;PLC1;1;21;200;180;10;0;200;179
2026-05-15T12:27:43.250Z;15/5/2026, 14:27:43;PLC1;1;20;198;178;10;0;200;180
2026-05-15T12:37:43.257Z;15/5/2026, 14:37:43;PLC1;1;20;201;180;10;0;199;179
2026-05-15T12:47:43.259Z;15/5/2026, 14:47:43;PLC1;1;21;202;181;10;0;200;179
